199.40.0.0/27

199.40.0.0      199.40.0.1 - 199.40.0.30	199.40.0.31
199.40.0.32	199.40.0.33 - 199.40.0.62	199.40.0.63
199.40.0.64	199.40.0.65 - 199.40.0.94	199.40.0.95
199.40.0.96	199.40.0.97 - 199.40.0.126	199.40.0.127
199.40.0.128	199.40.0.129 - 199.40.0.158	199.40.0.159
199.40.0.160	199.40.0.161 - 199.40.0.190	199.40.0.191
199.40.0.192	199.40.0.193 - 199.40.0.222	199.40.0.223
199.40.0.224	199.40.0.225 - 199.40.0.254	199.40.0.255

10.0.0.0/13

10.0.0.0	10.0.0.1 - 10.7.255.254		10.7.255.255
10.8.0.0	10.8.0.1 - 10.15.255.254	10.15.255.255
10.16.0.0	10.16.0.1 - 10.23.255.254	10.23.255.255
10.24.0.0	10.24.0.1 - 10.31.255.254	10.31.255.255
10.32.0.0	10.32.0.1 - 10.39.255.254	10.39.255.255
10.40.0.0	10.40.0.1 - 10.47.255.254	10.47.255.255
10.48.0.0	10.48.0.1 - 10.55.255.254	10.55.255.255
10.56.0.0	10.56.0.1 - 10.63.255.254	10.63.255.255
10.64.0.0	10.64.0.1 - 10.71.255.254	10.71.255.255
10.72.0.0	10.72.0.1 - 10.79.255.254	10.79.255.255
10.80.0.0	10.80.0.1 - 10.87.255.254	10.87.255.255
10.88.0.0	10.88.0.1 - 10.95.255.254	10.95.255.255
10.96.0.0	10.96.0.1 - 10.103.255.254	10.103.255.255
10.104.0.0	10.104.0.1 - 10.111.255.254	10.111.255.255
10.112.0.0	10.112.0.1 - 10.119.255.254	10.119.255.255
10.120.0.0	10.120.0.1 - 10.127.255.254	10.127.255.255
10.128.0.0	10.128.0.1 - 10.135.255.254	10.135.255.255
10.136.0.0	10.136.0.1 - 10.143.255.254	10.143.255.255
10.144.0.0	10.144.0.1 - 10.151.255.254	10.151.255.255
10.152.0.0	10.152.0.1 - 10.159.255.254	10.159.255.255
10.160.0.0	10.160.0.1 - 10.167.255.254	10.167.255.255
10.168.0.0	10.168.0.1 - 10.175.255.254	10.175.255.255
10.176.0.0	10.176.0.1 - 10.183.255.254	10.183.255.255
10.184.0.0	10.184.0.1 - 10.191.255.254	10.191.255.255
10.192.0.0	10.192.0.1 - 10.199.255.254	10.199.255.255
10.200.0.0	10.200.0.1 - 10.207.255.254	10.207.255.255
10.208.0.0	10.208.0.1 - 10.215.255.254	10.215.255.255
10.216.0.0	10.216.0.1 - 10.223.255.254	10.223.255.255
10.224.0.0	10.224.0.1 - 10.231.255.254	10.231.255.255
10.232.0.0	10.232.0.1 - 10.239.255.254	10.239.255.255
10.240.0.0	10.240.0.1 - 10.247.255.254	10.247.255.255
10.248.0.0	10.248.0.1 - 10.255.255.254	10.255.255.255
